"Código Plan",Facultad,Carrera,Plan,Jornada,Sede,Grado,Modalidad,"Inicio Vigencia"
MG3,"Facultad de Magia y Hechicería","Magíster en Magias Humanos Y Ciudadanía","MAGÍSTER EN MAGIAS HUMANOS Y CIUDADANÍA",Diurno,Hogwarts,Postgrado,Presencial,22/03/19
MG4,"Facultad de Magia y Hechicería","Magíster en Magia Procesal","MAGÍSTER EN MAGIA NECRÓFAGA",Diurno,Hogwarts,Postgrado,Presencial,20/06/03
MG5,"Facultad de Magia y Hechicería","Magíster en Magia Procesal","MAGÍSTER EN MAGIA NECRÓFAGA (ON-LINE)",Diurno,Hogwarts,Postgrado,OnLine,24/03/20
MG6,"Facultad de Magia y Hechicería","Magíster en Magia Corporativo","MAGÍSTER EN MAGIA MINISTERIAL",Diurno,Hogwarts,Postgrado,Presencial,14/12/16
MG7,"Facultad de Magia y Hechicería","Magíster en Magia Corporativo","MAGÍSTER EN MAGIA MINISTERIAL",Diurno,Hogwarts,Postgrado,Presencial,10/01/24
MG8,"Facultad de Magia y Hechicería","Magíster en Magia Público","MAGÍSTER EN MAGIA PÚBLICO",Diurno,Hogwarts,Postgrado,Presencial,22/03/19
MG9,"Facultad de Magia y Hechicería","Magíster en Sistema Penal","MAGÍSTER EN CHAMBERS",Diurno,Hogwarts,Postgrado,Presencial,20/01/18
MG0,"Facultad de Magia y Hechicería","Magíster en Sistema Penal","MAGISTER EN CHAMBERS",Diurno,Beauxbaton,Postgrado,Presencial,20/01/18
MG11,"Facultad de Magia y Hechicería","Magíster en Magia Inmobiliario Y Registral","MAGÍSTER EN CASTILLOS",Diurno,Hogwarts,Postgrado,Presencial,03/12/18
MT1,"Facultad de Magia y Hechicería","Magíster en Intervención Social Y Desarrollo Humano","MAGÍSTER EN ASTRONOMíA",Diurno,Hogwarts,Postgrado,Presencial,21/12/17
MT2,"Facultad de Magia y Hechicería","Magíster en Intervención Social Y Desarrollo Humano","MAGÍSTER EN  ASTRONOMíA (SEDE BEUXBATON)",Diurno,Beauxbaton,Postgrado,Presencial,21/12/17
DO1,"Facultad de Magia y Hechicería","Doctorado en Magia","DOCTORADO EN MAGIA",Diurno,Hogwarts,Postgrado,Presencial,05/06/20
HG1,"Facultad de Magia y Hechicería","Programa Especial de Licenciatura en Hechicería","PROGRAMA ESPECIAL DE LICENCIATURA EN HECHICERíA",Diurno,Hogwarts,"Programa Especial",Presencial,05/01/18
HG2,"Facultad de Magia y Hechicería","Programa Especial de Licenciatura en Hechicería","PROGRAMA ESPECIAL DE LICENCIATURA EN HECHICERíA (BEUXBATON)",Diurno,Beauxbaton,"Programa Especial",Presencial,02/01/24
WH3,"Facultad de Magia y Hechicería",Hechicería,"HECHICERíA CASTELOBRUXO",Diurno,Beauxbaton,Pregrado,Presencial,01/04/16
WH1,"Facultad de Magia y Hechicería",Hechicería,"HECHICERíA PLAN 2005  (SEDE HOGWARDS)",Diurno,Hogwarts,Pregrado,Presencial,01/10/13
WH2,"Facultad de Magia y Hechicería",Hechicería,"HECHICERíA PLAN 2016  (SEDE HOGWARDS)",Diurno,Hogwarts,Pregrado,Presencial,01/04/16
